keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
white queen size sheets,,0,,,,122,23,1,413.77,36.97,274.88,0.5052750291036088,67,1,0.00029282576866764275,1.0
king split sheets for adjustable bed,"B07BKMKJKQ, B0BTZ68TRH, B0BTZ6WFS3",3,31,31,0,819,8,0,407.04,,916.19,-0.5557253408135867,383,2,8.103727714748784e-05,0.0
white full sheets,,0,,,,358,29,0,406.0,,576.83,-0.29615311270218264,165,2,0.00018910741301059002,0.0
queen sized sheets,,0,,,,804,19,0,403.55999999999995,,339.84,0.18749999999999992,279,0,0.0,
twin white sheets,,0,,,,270,31,0,402.69,,371.69,0.08340283569641369,147,4,0.0005021340697966357,0.0
ugg sheets,,0,,,,1378,7,0,399.84,,458.88,-0.12866108786610883,594,0,0.0,
sheets for full size bed,,0,,,,850,18,1,395.82,35.97,,,313,2,8.019246190858059e-05,0.5
cotton sheets full size,,0,,,,1089,16,0,394.24,,,,503,2,6.043391551338611e-05,0.0
terracotta sheets,,0,,,,993,12,0,387.48,,308.44,0.25625729477369996,457,5,0.00018733608092918696,0.0
white sheet set,,0,,,,694,22,1,385.88,36.97,263.09999999999997,0.46666666666666684,252,4,0.00016904027384524362,0.25
twin white sheet set,,0,,,,232,33,0,385.44,,341.76,0.12780898876404498,119,2,0.00032242463324197966,0.0
twin xl flannel sheets,,0,,,,659,11,0,384.89000000000004,,251.91,0.5278869437497521,366,2,0.00010207727249527892,0.0
